line,direction,from_station,to_station,interval_min
12,往七莘路,金海路,申江路,4
12,往七莘路,申江路,金京路,2
12,往七莘路,金京路,杨高北路,2
12,往七莘路,杨高北路,巨峰路,3
12,往七莘路,巨峰路,东陆路,2
12,往七莘路,东陆路,复兴岛,3
12,往七莘路,复兴岛,爱国路,2
12,往七莘路,爱国路,隆昌路,2
12,往七莘路,隆昌路,宁国路,3
12,往七莘路,宁国路,江浦公园,2
12,往七莘路,江浦公园,大连路,2
12,往七莘路,大连路,提篮桥,2
12,往七莘路,提篮桥,国际客运中心,2
12,往七莘路,国际客运中心,天潼路,4
12,往七莘路,天潼路,曲阜路,2
12,往七莘路,曲阜路,汉中路,3
12,往七莘路,汉中路,南京西路,3
12,往七莘路,南京西路,陕西南路,3
12,往七莘路,陕西南路,嘉善路,2
12,往七莘路,嘉善路,大木桥路,3
12,往七莘路,大木桥路,龙华中路,2
12,往七莘路,龙华中路,龙华,3
12,往七莘路,龙华,龙漕路,3
12,往七莘路,龙漕路,漕宝路,2
12,往七莘路,漕宝路,桂林公园,2
12,往七莘路,桂林公园,虹漕路,2
12,往七莘路,虹漕路,虹梅路,3
12,往七莘路,虹梅路,东兰路,2
12,往七莘路,东兰路,顾戴路,3
12,往七莘路,顾戴路,虹莘路,2
12,往七莘路,虹莘路,七莘路,2
12,往金海路,七莘路,虹莘路,2
12,往金海路,虹莘路,顾戴路,3
12,往金海路,顾戴路,东兰路,2
12,往金海路,东兰路,虹梅路,3
12,往金海路,虹梅路,虹漕路,2
12,往金海路,虹漕路,桂林公园,2
12,往金海路,桂林公园,漕宝路,2
12,往金海路,漕宝路,龙漕路,3
12,往金海路,龙漕路,龙华,2
12,往金海路,龙华,龙华中路,3
12,往金海路,龙华中路,大木桥路,3
12,往金海路,大木桥路,嘉善路,2
12,往金海路,嘉善路,陕西南路,3
12,往金海路,陕西南路,南京西路,2
12,往金海路,南京西路,汉中路,3
12,往金海路,曲阜路,天潼路,3
12,往金海路,天潼路,国际客运中心,3
12,往金海路,国际客运中心,提篮桥,2
12,往金海路,提篮桥,大连路,2
12,往金海路,大连路,江浦公园,2
12,往金海路,江浦公园,宁国路,2
12,往金海路,宁国路,隆昌路,3
12,往金海路,隆昌路,爱国路,2
12,往金海路,爱国路,复兴岛,2
12,往金海路,复兴岛,东陆路,3
12,往金海路,东陆路,巨峰路,3
12,往金海路,巨峰路,杨高北路,2
12,往金海路,杨高北路,金京路,2
12,往金海路,金京路,申江路,3
12,往金海路,申江路,金海路,3
